# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.39
4                       0.74
8                       1.44
16                      2.73
32                      5.35
64                      9.29
128                    17.13
256                    29.43
512                    50.18
1024                   68.35
2048                   89.20
4096                  104.28
8192                  110.21
16384                 113.55
32768                 115.71
65536                1315.77
131072               1718.59
262144               1911.90
524288               2015.59
1048576              2111.17
2097152              2137.71
4194304              2151.57
