# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       7.56
2                      15.39
4                      30.95
8                      61.44
16                    122.86
32                    243.96
64                    426.49
128                   615.58
256                  1023.19
512                  2186.49
1024                 3797.85
2048                 5971.01
4096                 3182.86
8192                 4838.60
16384                5810.54
32768                7734.90
65536                9124.94
131072               9704.13
262144               8726.43
524288               8838.41
1048576              9112.58
2097152              9262.13
4194304              8976.67
