# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      95.50
1                      95.07
2                      83.52
4                      94.29
8                      76.75
16                     32.82
32                     95.55
64                     96.13
128                    86.58
256                    85.48
512                   107.89
1024                  117.65
2048                  109.67
4096                  211.62
8192                  247.03
16384                 334.74
32768                 488.52
65536                 274.84
131072                393.65
262144                512.03
524288                651.97
1048576               867.21
2097152              1330.66
4194304              2377.84
