# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.19
1                       0.23
2                       0.23
4                       0.23
8                       0.23
16                      0.27
32                      0.25
64                      0.27
128                     0.29
256                     0.33
512                     0.41
1024                    0.48
2048                    0.63
4096                    1.88
8192                    2.29
16384                   3.16
32768                   4.59
65536                   7.47
131072                 14.04
262144                 30.78
524288                 60.16
1048576               116.70
2097152               228.66
4194304               880.00
