# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.19
1                       0.23
2                       0.23
4                       0.23
8                       0.23
16                      0.27
32                      0.25
64                      0.27
128                     0.28
256                     0.33
512                     0.41
1024                    0.49
2048                    0.63
4096                    1.84
8192                    2.27
16384                   3.13
32768                   4.46
65536                   7.53
131072                 14.05
262144                 30.89
524288                 60.69
1048576               117.79
2097152               236.46
4194304               877.61
