# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      94.99
1                      94.60
2                      95.99
4                      93.12
8                      95.47
16                     95.30
32                     95.59
64                     94.32
128                    97.01
256                   103.41
512                   108.81
1024                  118.62
2048                  111.50
4096                  221.03
8192                  246.68
16384                 324.14
32768                 492.03
65536                 316.05
131072                435.09
262144                531.91
524288                722.75
1048576               974.69
2097152              1540.21
4194304              2731.64
