# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.98
2                      17.94
4                      36.62
8                      73.68
16                    149.07
32                    285.87
64                    584.56
128                   726.10
256                  1335.51
512                  2372.89
1024                 3887.48
2048                 6022.74
4096                 8333.94
8192                10548.31
16384                6387.77
32768                9171.71
65536               11545.71
131072              12453.47
262144              11241.89
524288              11181.31
1048576             11605.61
2097152             11816.41
4194304             11014.84
