# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.42
2                       6.86
4                      13.92
8                      27.49
16                     56.42
32                    113.48
64                    208.85
128                   301.19
256                   568.15
512                  1089.60
1024                 1797.95
2048                 2701.59
4096                 2941.76
8192                 3130.97
16384                3205.08
32768                3246.10
65536                3269.31
131072               3283.08
262144               3287.06
524288               3293.53
1048576              3296.05
2097152              3395.63
4194304              3396.41
