# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.86
2                      17.26
4                      35.36
8                      72.56
16                    144.93
32                    263.68
64                    557.21
128                   414.54
256                   780.79
512                  1460.93
1024                 2165.24
2048                 3282.57
4096                 4754.96
8192                 5862.18
16384                6084.69
32768                8773.32
65536               11252.13
131072              12303.97
262144              11426.32
524288              11348.61
1048576             11658.27
2097152             11951.45
4194304             11719.36
