# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.39
4                       0.76
8                       1.50
16                      2.64
32                      5.41
64                      9.37
128                    18.02
256                    30.70
512                    49.13
1024                   70.12
2048                   89.65
4096                  103.17
8192                  108.98
16384                 113.91
32768                 115.88
65536                1139.02
131072               1315.26
262144               1484.66
524288               1519.78
1048576              1455.62
2097152              1483.12
4194304              1516.91
