# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      83.91
1                      84.09
2                      83.63
4                      80.83
8                      71.22
16                     84.28
32                     84.80
64                     80.59
128                    36.09
256                    62.21
512                    83.03
1024                   92.78
2048                  126.60
4096                  240.44
8192                  246.75
16384                 333.33
32768                 492.98
65536                 315.40
131072                397.37
262144                501.56
524288                691.54
1048576               930.87
2097152              1505.38
4194304              2725.51
