# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.19
2                       0.40
4                       0.74
8                       1.50
16                      2.63
32                      5.49
64                      8.81
128                    17.36
256                    30.07
512                    48.05
1024                   66.73
2048                   89.34
4096                  104.79
8192                  110.43
16384                 113.55
32768                 115.88
65536                1406.12
131072               1702.51
262144               1797.83
524288               1872.20
1048576              1895.58
2097152              1970.47
4194304              1968.34
