# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      86.31
1                      85.70
2                      86.02
4                      86.11
8                      82.56
16                     86.02
32                     87.06
64                     40.53
128                    27.54
256                    30.21
512                    93.19
1024                  104.69
2048                  140.78
4096                  228.94
8192                  247.08
16384                 330.97
32768                 494.67
65536                 320.21
131072                428.63
262144                498.16
524288                772.56
1048576              1093.01
2097152              1529.87
4194304              2761.71
