# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.19
1                       0.23
2                       0.23
4                       0.23
8                       0.23
16                      0.27
32                      0.24
64                      0.26
128                     0.28
256                     0.33
512                     0.41
1024                    0.48
2048                    0.63
4096                    1.87
8192                    2.28
16384                   3.10
32768                   4.64
65536                   7.65
131072                 14.32
262144                 31.19
524288                 60.75
1048576               117.41
2097152               240.92
4194304               911.12
