# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                      83.94
1                      84.36
2                      82.12
4                      84.77
8                      85.38
16                     84.77
32                     85.95
64                     86.95
128                    88.81
256                    93.97
512                   103.28
1024                  114.44
2048                  126.20
4096                  227.31
8192                  247.95
16384                 337.93
32768                 496.15
65536                 318.96
131072                404.72
262144                482.10
524288                690.43
1048576              1050.92
2097152              1489.83
4194304              2717.59
