# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.34
1                       0.38
2                       0.38
4                       0.39
8                       0.38
16                      0.42
32                      0.41
64                      0.44
128                     0.52
256                     0.70
512                     0.82
1024                    0.95
2048                    1.17
4096                    2.49
8192                    2.90
16384                   3.68
32768                   5.31
65536                   8.26
131072                 14.86
262144                 30.76
524288                 60.22
1048576               116.14
2097152               226.44
4194304               483.63
