# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.20
2                      18.76
4                      37.28
8                      75.43
16                    152.32
32                    281.94
64                    588.12
128                   740.66
256                  1322.27
512                  2407.25
1024                 3980.29
2048                 6145.01
4096                 8477.27
8192                10557.67
16384                6431.43
32768                9160.95
65536               11402.84
131072              12104.96
262144              11285.32
524288              10938.37
1048576             11411.56
2097152             11717.68
4194304             11064.59
