# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.16
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.16
32                      0.21
64                      0.21
128                     0.33
256                     0.35
512                     0.39
1024                    0.48
2048                    0.62
4096                    0.94
8192                    1.63
16384                   2.90
32768                   4.81
65536                   8.37
131072                 16.67
262144                 24.72
524288                 48.37
1048576                92.98
2097152               190.06
4194304               765.03
