# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.40
2                       6.95
4                      14.02
8                      27.92
16                     56.52
32                    114.27
64                    211.13
128                   303.32
256                   568.35
512                  1090.62
1024                 1816.81
2048                 2713.31
4096                 2946.55
8192                 3131.16
16384                3200.45
32768                3245.63
65536                3269.63
131072               3282.72
262144               3288.45
524288               3294.97
1048576              3296.44
2097152              3395.95
4194304              3396.54
