# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.69
1                       1.66
2                       1.65
4                       1.64
8                       1.65
16                      1.65
32                      1.65
64                      1.80
128                     2.48
256                     2.62
512                     2.90
1024                    3.46
2048                    4.51
4096                    6.61
8192                    8.48
16384                  11.11
32768                  16.24
65536                  26.35
131072                 46.01
262144                 84.64
524288                161.22
1048576               315.69
2097152               624.50
4194304              1243.20
