# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.45
2                      17.51
4                      34.99
8                      71.30
16                    139.93
32                    263.24
64                    555.74
128                   404.35
256                   771.77
512                  1404.11
1024                 2072.08
2048                 3260.09
4096                 4673.96
8192                 5802.05
16384                6292.44
32768                8719.21
65536               11333.65
131072              12081.00
262144              11243.43
524288              11183.90
1048576             11597.80
2097152             11742.63
4194304             10799.31
