# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.32
1                       0.33
2                       0.32
4                       0.33
8                       0.32
16                      0.32
32                      0.52
64                      0.50
128                     0.71
256                     0.75
512                     0.80
1024                    0.97
2048                    1.21
4096                    1.63
8192                    2.61
16384                   4.29
32768                   7.22
65536                  13.44
131072                 26.47
262144                 24.03
524288                 47.32
1048576                90.37
2097152               175.52
4194304               357.28
