# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       0.20
2                       0.38
4                       0.75
8                       1.51
16                      2.60
32                      5.37
64                     10.33
128                    18.05
256                    29.92
512                    48.21
1024                   69.95
2048                   89.42
4096                  103.21
8192                  110.24
16384                 113.72
32768                 115.77
65536                1146.11
131072               1299.88
262144               1446.14
524288               1513.04
1048576              1559.32
2097152              1592.23
4194304              1613.33
