# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       9.26
2                      18.26
4                      37.06
8                      75.00
16                    151.98
32                    291.48
64                    590.12
128                   752.01
256                  1374.35
512                  2436.09
1024                 3958.83
2048                 6087.77
4096                 8512.00
8192                10568.31
16384                6630.21
32768                9112.11
65536               11421.21
131072              11762.04
262144              10982.26
524288              10930.15
1048576             11284.45
2097152             11628.78
4194304             11219.69
