# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.16
1                       0.16
2                       0.16
4                       0.16
8                       0.16
16                      0.16
32                      0.20
64                      0.21
128                     0.32
256                     0.36
512                     0.38
1024                    0.46
2048                    0.60
4096                    0.91
8192                    1.58
16384                   2.89
32768                   4.67
65536                   8.05
131072                 16.33
262144                 24.32
524288                 47.82
1048576                91.83
2097152               180.67
4194304               760.24
