# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       3.46
2                       6.87
4                      13.92
8                      27.61
16                     56.71
32                    113.95
64                    209.27
128                   304.16
256                   571.45
512                  1086.38
1024                 1807.27
2048                 2715.06
4096                 2944.39
8192                 3134.62
16384                3201.52
32768                3244.39
65536                3270.20
131072               3282.59
262144               3287.75
524288               3294.17
1048576              3295.90
2097152              3395.13
4194304              3395.96
