# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       1.69
1                       1.66
2                       1.65
4                       1.64
8                       1.65
16                      1.65
32                      1.65
64                      1.79
128                     2.44
256                     2.60
512                     2.90
1024                    3.44
2048                    4.48
4096                    6.58
8192                    8.46
16384                  11.12
32768                  16.20
65536                  26.25
131072                 45.87
262144                 83.87
524288                161.19
1048576               315.65
2097152               624.60
4194304              1243.23
