# OSU MPI Bandwidth Test v5.8
# Size      Bandwidth (MB/s)
1                       8.70
2                      17.95
4                      36.12
8                      72.10
16                    145.52
32                    265.19
64                    545.38
128                   420.81
256                   785.13
512                  1427.11
1024                 2140.37
2048                 3318.07
4096                 4798.61
8192                 5908.24
16384                6456.27
32768                8947.67
65536               11271.72
131072              11956.60
262144              11079.77
524288              10908.03
1048576             11250.60
2097152             11611.85
4194304             11293.37
