# OSU MPI Latency Test v5.8
# Size          Latency (us)
0                       0.33
1                       0.33
2                       0.33
4                       0.33
8                       0.33
16                      0.32
32                      0.51
64                      0.51
128                     0.73
256                     0.75
512                     0.81
1024                    0.97
2048                    1.22
4096                    1.64
8192                    2.61
16384                   4.29
32768                   7.23
65536                  13.50
131072                 26.52
262144                 24.61
524288                 48.43
1048576                91.15
2097152               176.87
4194304               373.41
